route,timesteps,collision_truck,collision_trailer,timeout,completed
5|120,142,True,False,False,False
117|120,166,False,True,False,False
31|120,137,True,False,False,False
97|95,358,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
5|41,152,True,False,False,False
34|84,167,False,True,False,False
5|41,143,True,False,False,False
5|120,148,True,False,False,False
61|95,300,False,False,False,True
5|84,134,True,False,False,False
117|120,165,False,True,False,False
34|41,148,False,True,False,False
61|4,276,False,False,False,True
117|41,164,False,True,False,False
61|95,298,False,False,False,True
117|41,170,False,True,False,False
61|4,275,False,False,False,True
117|41,165,False,True,False,False
97|95,361,False,False,False,True
31|120,141,True,False,False,False
40|4,110,False,True,False,False
5|84,132,True,False,False,False
40|4,113,False,True,False,False
5|84,135,True,False,False,False
61|4,272,False,False,False,True
31|120,144,True,False,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
5|41,147,True,False,False,False
117|41,172,False,True,False,False
31|84,135,True,False,False,False
117|41,169,False,True,False,False
11|10,79,False,True,False,False
34|84,165,False,True,False,False
61|95,303,False,False,False,True
117|41,171,False,True,False,False
97|95,353,False,False,False,True
34|41,144,False,True,False,False
40|4,94,False,True,False,False
5|120,142,True,False,False,False
61|4,275,False,False,False,True
34|84,162,False,True,False,False
117|120,168,False,True,False,False
34|41,144,False,True,False,False
31|84,135,True,False,False,False
31|120,143,True,False,False,False
40|10,345,False,False,False,True
5|120,142,True,False,False,False
117|120,167,False,True,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
31|84,128,True,False,False,False
117|120,162,False,True,False,False
40|10,345,False,False,False,True
40|4,87,False,True,False,False
97|95,350,False,False,False,True
117|120,165,False,True,False,False
97|95,353,False,False,False,True
5|41,136,True,False,False,False
97|95,353,False,False,False,True
117|120,164,False,True,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
61|4,262,False,False,False,True
61|4,259,False,False,False,True
61|95,286,False,False,False,True
40|10,342,False,False,False,True
61|4,268,False,False,False,True
117|120,174,False,True,False,False
31|84,134,True,False,False,False
117|120,165,False,True,False,False
97|95,352,False,False,False,True
117|120,163,False,True,False,False
5|41,144,True,False,False,False
5|41,137,True,False,False,False
40|4,85,False,True,False,False
117|120,164,False,True,False,False
40|4,85,False,True,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
117|120,165,False,True,False,False
61|95,298,False,False,False,True
61|4,268,False,False,False,True
31|84,132,True,False,False,False
31|84,132,True,False,False,False
11|10,81,False,True,False,False
40|4,98,False,True,False,False
117|120,162,False,True,False,False
40|10,350,False,False,False,True
11|10,82,False,True,False,False
31|84,127,True,False,False,False
40|4,106,False,True,False,False
97|95,354,False,False,False,True
5|41,141,True,False,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
31|84,136,True,False,False,False
5|41,144,True,False,False,False
11|10,92,False,True,False,False
97|95,352,False,False,False,True
5|41,145,True,False,False,False
97|95,353,False,False,False,True
31|84,133,True,False,False,False
5|41,147,True,False,False,False
40|4,117,False,True,False,False
40|10,343,False,False,False,True
11|10,92,False,True,False,False
5|41,135,True,False,False,False
31|84,137,True,False,False,False
40|4,126,False,True,False,False
5|41,144,True,False,False,False
31|84,136,True,False,False,False
11|10,90,False,True,False,False
97|95,353,False,False,False,True
5|41,144,True,False,False,False
61|95,292,False,False,False,True
11|10,90,False,True,False,False
40|4,120,False,True,False,False
97|95,353,False,False,False,True
61|4,267,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
31|84,139,True,False,False,False
40|10,348,False,False,False,True
11|10,98,False,True,False,False
31|84,133,True,False,False,False
61|4,269,False,False,False,True
117|120,168,False,True,False,False
40|10,348,False,False,False,True
97|95,356,False,False,False,True
61|95,298,False,False,False,True
117|120,167,False,True,False,False
40|10,348,False,False,False,True
11|10,97,False,True,False,False
117|120,164,False,True,False,False
11|10,98,False,True,False,False
5|41,129,True,False,False,False
61|4,269,False,False,False,True
31|84,139,True,False,False,False
97|95,357,False,False,False,True
117|120,163,False,True,False,False
40|10,349,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
117|120,164,False,True,False,False
5|41,132,True,False,False,False
31|84,137,True,False,False,False
40|10,351,False,False,False,True
31|84,142,True,False,False,False
11|10,104,False,True,False,False
5|41,151,True,False,False,False
31|84,137,True,False,False,False
11|10,103,False,True,False,False
117|120,165,False,True,False,False
11|10,105,False,True,False,False
61|95,301,False,False,False,True
11|10,102,False,True,False,False
31|84,142,True,False,False,False
97|95,361,False,False,False,True
11|10,102,False,True,False,False
97|95,361,False,False,False,True
61|4,273,False,False,False,True
117|120,166,False,True,False,False
61|4,272,False,False,False,True
61|95,300,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
61|4,247,False,False,False,True
117|120,164,False,True,False,False
5|41,159,True,True,False,False
40|4,124,False,True,False,False
61|4,244,False,False,False,True
61|95,271,False,False,False,True
97|95,315,False,False,False,True
31|84,133,True,False,False,False
61|4,189,False,True,False,False
40|4,140,False,True,False,False
31|84,141,True,False,False,False
40|4,138,False,True,False,False
31|84,141,True,False,False,False
40|10,325,False,False,False,True
40|10,311,False,False,False,True
97|95,327,False,False,False,True
117|120,171,False,True,False,False
61|4,198,False,True,False,False
40|4,135,False,True,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
61|95,294,False,False,False,True
11|10,112,False,True,False,False
5|41,139,True,False,False,False
117|120,168,False,True,False,False
40|4,135,False,True,False,False
97|95,350,False,False,False,True
5|41,148,True,False,False,False
